奇异轮播,#genre#
经典传奇,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1036_1080P_t10/c60_fast_1036_1080P_t10.m3u8?d
传奇故事,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1037_1080P_t10/c60_fast_1037_1080P_t10.m3u8?d
蛋仔派对,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1048_1080P_t10/c60_fast_1048_1080P_t10.m3u8?d
国产动漫,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_1006_1080P_t10/c55_fast_1006_1080P_t10.m3u8?d
少儿剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1073_1080P_t10/c60_fast_1073_1080P_t10.m3u8?d
猫和老鼠,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_1142_1080P_t10/c54_fast_1142_1080P_t10.m3u8?d
小猪佩奇,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_704_1080P_t10/c55_fast_704_1080P_t10.m3u8?d
熊出没,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_729_1080P_t10/c56_fast_729_1080P_t10.m3u8?d
动漫剧场1,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_1010_1080P_t10/c56_fast_1010_1080P_t10.m3u8?d
动漫剧场2,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_1002_1080P_t10/c57_fast_1002_1080P_t10.m3u8?d
动漫剧场3,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_945_1080P_t10/c59_fast_945_1080P_t10.m3u8?d
搞笑剪辑,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_859_1080P_t10/c54_fast_859_1080P_t10.m3u8?d
剧场1,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_750_1080P_t10/c58_fast_750_1080P_t10.m3u8?d
剧场2,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_679_1080P_t10/c54_fast_679_1080P_t10.m3u8?d
剧场3,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_935_1080P_t10/c54_fast_935_1080P_t10.m3u8?d
剧场4,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_995_1080P_t10/c54_fast_995_1080P_t10.m3u8?d
剧场5,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_1005_1080P_t10/c54_fast_1005_1080P_t10.m3u8?d
剧场6,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_677_1080P_t10/c55_fast_677_1080P_t10.m3u8?d
剧场7,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_996_1080P_t10/c54_fast_996_1080P_t10.m3u8?d
剧场8,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_736_1080P_t10/c55_fast_736_1080P_t10.m3u8?d
剧场9,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_962_1080P_t10/c56_fast_962_1080P_t10.m3u8?d
剧场10,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_959_1080P_t10/c57_fast_959_1080P_t10.m3u8?d
剧场11,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_997_1080P_t10/c54_fast_997_1080P_t10.m3u8?d
剧场12,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_673_1080P_t10/c55_fast_673_1080P_t10.m3u8?d
剧场13 ,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_980_1080P_t10/c55_fast_980_1080P_t10.m3u8?d
剧场14,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_1068_1080P_t10/c55_fast_1068_1080P_t10.m3u8?d
剧场15,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_956_1080P_t10/c56_fast_956_1080P_t10.m3u8?d
剧场16,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_971_1080P_t10/c56_fast_971_1080P_t10.m3u8?d
剧场17,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_981_1080P_t10/c56_fast_981_1080P_t10.m3u8?d
剧场18,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_993_1080P_t10/c56_fast_993_1080P_t10.m3u8?d
剧场19,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_978_1080P_t10/c57_fast_978_1080P_t10.m3u8?d
剧场20,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_985_1080P_t10/c57_fast_985_1080P_t10.m3u8?d
剧场21,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_1003_1080P_t10/c58_fast_1003_1080P_t10.m3u8?d
体育万花筒,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_1062_1080P_t10/c58_fast_1062_1080P_t10.m3u8?d
足球世界,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_1061_1080P_t10/c55_fast_1061_1080P_t10.m3u8?d
网坛精华,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1059_1080P_t10/c59_fast_1059_1080P_t10.m3u8?d
搏击格斗,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1060_1080P_t10/c59_fast_1060_1080P_t10.m3u8?d
世界历史,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1026_1080P_t10/c60_fast_1026_1080P_t10.m3u8?d
智勇闯关,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1027_1080P_t10/c60_fast_1027_1080P_t10.m3u8?d
综艺,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_1001_1080P_t10/c57_fast_1001_1080P_t10.m3u8?d
综艺,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_1008_1080P_t10/c58_fast_1008_1080P_t10.m3u8?d
奇异综艺,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1000_1080P_t10/c59_fast_1000_1080P_t10.m3u8?d
金牌调解,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1039_1080P_t10/c59_fast_1039_1080P_t10.m3u8?d
健康养生,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1046_1080P_t10/c59_fast_1046_1080P_t10.m3u8?d
王者荣耀,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1047_1080P_t10/c59_fast_1047_1080P_t10.m3u8?d
中国通史,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1029_1080P_t10/c60_fast_1029_1080P_t10.m3u8?d
养生堂,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1032_1080P_t10/c60_fast_1032_1080P_t10.m3u8?d
第三调节室,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1033_1080P_t10/c60_fast_1033_1080P_t10.m3u8?d
纪实档案,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1034_1080P_t10/c60_fast_1034_1080P_t10.m3u8?d
健康大问诊,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1035_1080P_t10/c60_fast_1035_1080P_t10.m3u8?d
央视频道,#genre#
CCTV1综合,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv1&zy.m3u8
CCTV2财经,http://1.116.212.26:7110/live2025/2025/CCTV2.php
CCTV2财经,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv2&zy.m3u8
CCTV3综艺,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv3&zy.m3u8
CCTV4中文国际,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv4&zy.m3u8
CCTV4欧洲,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CCTV4欧洲
CCTV4美洲,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CCTV4美洲
CCTV5体育,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv5&zy.m3u8
CCTV5+体育赛事,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv5p&zy.m3u8
CCTV6电影,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv6&zy.m3u8
CCTV7国防军事,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv7&zy.m3u8
CCTV8电视剧,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv8&zy.m3u8
CCTV9纪录,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv9&zy.m3u8
CCTV10科教,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv10&zy.m3u8
CCTV11戏曲,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv11&zy.m3u8
CCTV12社会与法,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv12&zy.m3u8
CCTV13新闻,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv13&zy.m3u8
CCTV14少儿,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv14&zy.m3u8
CCTV15音乐,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv15&zy.m3u8
CCTV16奥林匹克,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv16&zy.m3u8
CCTV17农业农村,http://110.42.52.180:6688/live/live.php?token=oWOB93fe&id=cctv17&zy.m3u8
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1773615600-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-672840b8b1d11f36c6ba8cef7a4de9fc&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV8K,http://
4K UHD,http://
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_1.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN纪录,http://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN纪录,http://english-livebkali.cgtn.com/live/doccgtn_1.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN法语,http://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd.m3u8
CGTN阿语,http://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN,http://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN纪录,http://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN西语,http://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN法语,http://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN阿语,http://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN俄语,http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
重温经典,http://
1905电影网,http://
CHC家庭影院,http://
CHC动作电影,http://
CHC高清电影,http://
CHC影迷电影,http://
风云音乐,http://
怀旧剧场,http://
风云足球,http://
风云剧场,http://
第一剧场,http://
世界地理,http://
武术世界,http://
兵器科技,http://
高尔夫网球,http://
女性时尚,http://
央视台球,http://
电视指南,http://
央视精品,http://
CETV1,http://
CETV2,http://
CETV3,http://
CETV4,http://
发现之旅,http://
中学生,http://
老故事,http://
CCTV1综合,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8
CCTV10科教,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv10&zy.m3u8
CCTV11戏曲,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv11&zy.m3u8
CCTV12社会与法,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv12&zy.m3u8
CCTV13新闻,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv13&zy.m3u8
CCTV14少儿,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv14
CCTV15音乐,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv15&zy.m3u8
CCTV16奥林匹克,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv16&zy.m3u8
CCTV17农业农村,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv17&zy.m3u8
CCTV2财经,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv2&zy.m3u8
CCTV3综艺,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv3&zy.m3u8
CCTV4中文国际,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8
CCTV5体育,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5&zy.m3u8
CCTV5+体育赛事,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5p&zy.m3u8
CCTV6电影,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv6
CCTV7国防军事,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv7&zy.m3u8
CCTV8电视剧,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv8&zy.m3u8
CCTV9纪录,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv9&zy.m3u8
CGTN,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CGTN
CGTN俄语,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CGTN俄语
CGTN外语纪录,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CGTN外语纪录
CGTN法语,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CGTN法语
CGTN西班牙语,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CGTN西班牙语
CGTN阿拉伯语,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CGTN阿拉伯语
中学生,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=中学生
发现之旅,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=发现之旅
老故事,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=老故事
CETV1,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CETV1
CETV2,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CETV2
CETV4,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CETV4
CHC影迷电影,http://1.116.212.26:7110/live2025/ysws/migu720.php?id=CHC影迷电影
CCTV1综合,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=ea75ce49bf104a2c47c7524b2824cc5b&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260811102039&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=39.103.188.159&SecurityKey=20260811102039&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=4e5e4c02ecff33d3d53ac280cbbe6b96&ddCalcu=649evb5a6eye4abcb0c20e8c2fcfa3335dd3&sv=10004&ct=android
CCTV2财经,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=11e90a037d2b6dbf95c888e4d2cdd4a3&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260811102039&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=39.103.188.159&SecurityKey=20260811102039&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=fe3021059df78f2523b6a0d8adcf1b22&ddCalcu=2f2evb3a10zf2ac1d0a589dd0fa768bf3225&sv=10004&ct=android
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=2ecc05e063fb64f44d6608a45afc92b7&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260811102039&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=39.103.182.111&SecurityKey=20260811102039&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=fd1a33c657b5e8111982b3d18f3c1fd8&ddCalcu=8fddvf1a1aac3a33fc8615d73bb52e889111&sv=10004&ct=android
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=c0a1d48a257b100f6fa268a9cd0ba52b&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260811102039&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=39.103.188.159&SecurityKey=20260811102039&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=6216c9b08ed02a50c811036fc2b5d67b&ddCalcu=b672v61ad6y5cab92bc0f86e3d00121a85c0&sv=10004&ct=android
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=a34426f8747f169587690bd0b573c78f&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260811102044&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=39.103.188.159&SecurityKey=20260811102044&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=c7ad4eb06ef9d106ed7ec20ef2326bf5&ddCalcu=5cf7vbaa6dy24a3e2bf0e60e2fc9ed71d0e6&sv=10004&ct=android
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=4eba9c6fdf2fdbd3c8b9dc1a0612979a&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20260811102044&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=39.103.182.111&SecurityKey=20260811102044&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=d8ff80bcf65067ed3e529b751e8571b6&ddCalcu=6db8v1fa7fy58a80eb1c5f76b5902657ee3d&sv=10004&ct=android
CCTV5+体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=fd587a32eb7da114c7ae5e2c1ea14e58&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260811102040&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=39.103.182.111&SecurityKey=20260811102040&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=38854184d65481daa5d5e35f833c5ed6&ddCalcu=63d8ve8a55xc4a313884fd5635e458d15daa&sv=10004&ct=android
CCTV5体育,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=10715098462b8aab189367dbee0fa451&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20260811102039&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=39.103.188.159&SecurityKey=20260811102039&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=da118e739c1391e9cc16d4e63e92bd39&ddCalcu=9d3avd1ab1w28a9ee73369ec41d36911cec9&sv=10004&ct=android
CCTV6电影,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=fc7b377ca024529321e79a5bd9fe4806&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260811102041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=39.103.182.111&SecurityKey=20260811102041&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=8c6c434dbe0ec047e63d08eb30dfe85c&ddCalcu=c85cv86aecbf4ad3043dbbee800edc3064e7&sv=10004&ct=android
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=5abb5666efadcb5facced2bf13aa55ab&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20260811102041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=39.103.182.111&SecurityKey=20260811102041&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.8.0-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=1dc838e922caba91fc822794adb1fd70&ddCalcu=017dvdcaf8d13ab8dea942927c2a2b8ac9f1&sv=10004&ct=android
